,x1,x2,x3,x4,x5,x6,x7,x8
北京,6905.51,2265.88,1923.71,1562.55,3521.20,3306.82,1523.32,975.37
天津,6663.31,1754.98,1763.44,1174.62,2699.53,2116.01,1415.39,836.82
河北,3927.26,1425.99,1372.25,809.85,1526.60,1203.99,955.95,387.40
山西,3558.04,1461.90,1327.78,832.74,1487.66,1419.43,851.30,415.44
内蒙古,4962.40,2514.09,1418.60,1162.87,2003.54,1812.07,1239.36,765.13
辽宁,5254.96,1854.63,1385.62,929.37,1899.06,1614.52,1208.30,643.15
吉林,4252.85,1769.47,1468.29,839.31,1541.37,1468.34,1108.51,562.48
黑龙江,4348.45,1681.88,1185.96,723.58,1363.62,1190.87,1082.96,476.89
上海,8905.95,2053.81,2225.68,1826.22,3808.41,3746.38,1140.82,1394.86
江苏,6060.91,1772.06,1187.74,1193.81,2262.19,2695.52,962.45,647.06
浙江,7066.22,2138.99,1518.06,1109.42,3728.23,2816.12,1248.90,811.51
安徽,5246.76,1371.01,1501.39,690.66,1365.01,1631.28,907.58,467.77
福建,6534.94,1494.96,1661.84,1179.84,2470.18,1879.02,773.26,667.00
江西,4675.16,1272.88,1114.49,914.88,1310.21,1429.30,641.23,389.06
山东,4827.61,2008.84,1510.84,1013.82,2203.99,1538.44,938.86,518.27
河南,4212.76,1706.94,1087.08,977.52,1573.64,1373.94,919.83,484.76
湖北,5363.68,1677.91,1172.11,814.81,1382.20,1489.67,915.72,347.68
湖南,4943.89,1499.02,1292.55,940.79,1975.50,1526.10,790.76,434.25
广东,7471.88,1404.60,2005.15,1370.28,3630.62,2647.94,948.18,773.17
广西,5074.49,1019.34,1237.91,884.85,2000.57,1502.65,779.08,349.48
海南,5673.65,780.10,1342.29,729.86,1830.80,1141.81,783.34,360.91
重庆,5847.90,2056.79,1205.66,1079.27,1718.73,1474.88,1050.62,540.63
四川,5571.69,1483.54,1226.14,1020.16,1757.52,1369.47,735.26,532.52
贵州,4565.85,1209.88,1102.99,857.55,1395.28,1331.43,578.33,311.57
云南,4802.26,1587.18,827.84,570.46,1905.86,1350.65,822.41,381.38
西藏,5184.18,1261.29,781.12,428.03,1278.00,514.44,424.10,527.74
陕西,5040.47,1673.24,1193.81,914.26,1502.44,1857.60,1100.51,500.42
甘肃,4182.47,1470.26,1139.85,660.48,1289.80,1158.30,874.05,413.37
青海,4260.27,1394.28,1055.15,723.23,1293.45,967.90,854.25,406.93
宁夏,4483.44,1701.73,1247.14,885.36,1637.61,1441.18,978.12,521.47
新疆,4537.46,1715.94,888.16,791.43,1377.67,1122.18,912.99,493.56
